level_0,index,playerID,yearID,stint,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
177,177,castrju01,2001,1,96,242,27,54,10,0,3,13.0,0.0,0.0,13,50.0,2.0,0.0,4.0,2.0,9.0
178,178,castrra01,2001,1,7,11,0,2,0,0,0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
179,179,catalfr01,2001,1,133,463,77,153,31,5,11,54.0,15.0,5.0,39,55.0,3.0,8.0,1.0,1.0,5.0
180,180,cedenro01,2001,1,131,523,79,153,14,11,6,48.0,55.0,15.0,36,83.0,1.0,2.0,6.0,5.0,5.0
181,181,chacosh01,2001,1,27,47,2,2,0,0,0,1.0,0.0,0.0,0,22.0,0.0,1.0,7.0,0.0,1.0
182,182,charlno01,2001,1,44,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
183,183,chaveen01,2001,1,29,77,4,16,2,0,0,5.0,0.0,2.0,3,8.0,0.0,0.0,0.0,0.0,3.0
184,184,chaveer01,2001,1,151,552,91,159,43,0,32,114.0,8.0,2.0,41,99.0,9.0,4.0,0.0,7.0,7.0
185,185,chenbr01,4002,3,27,47,1,6,0,0,0,0.0,0.0,0.0,0,19.0,0.0,0.0,5.0,0.0,1.0
186,186,chiassc01,2001,1,6,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
187,187,choatra01,2001,1,37,3,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
188,188,chouibo01,2001,1,8,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
189,189,chrisja01,4002,3,55,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
190,190,chrismc01,4002,3,35,53,7,17,2,0,1,7.0,3.0,2.0,3,12.0,0.0,4.0,0.0,0.0,0.0
191,191,chrisry01,4002,3,26,8,4,1,1,0,0,1.0,1.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0
192,192,christi01,2001,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
193,193,cintral01,2001,1,8,7,0,2,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
194,194,cirilje01,2001,1,138,528,72,165,26,4,17,83.0,12.0,2.0,43,63.0,6.0,5.0,1.0,9.0,15.0
195,195,clappst01,2001,1,23,25,0,5,2,0,0,1.0,0.0,0.0,1,7.0,0.0,0.0,0.0,0.0,0.0
196,196,clarkbr02,2001,1,89,129,22,34,3,0,6,18.0,4.0,1.0,22,16.0,1.0,1.0,4.0,1.0,6.0
197,197,clarkje02,2001,1,3,0,1,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
198,198,clarkto02,2001,1,126,428,67,123,29,3,16,75.0,0.0,1.0,62,108.0,10.0,1.0,0.0,6.0,14.0
199,199,claytro01,2001,1,135,433,62,114,21,4,9,60.0,10.0,7.0,33,72.0,2.0,3.0,9.0,7.0,16.0
200,200,clemema01,2001,1,32,50,2,4,0,0,0,0.0,0.0,0.0,3,18.0,0.0,0.0,8.0,0.0,0.0
201,201,clemero02,2001,1,33,2,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
202,202,cocopa01,2001,1,7,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
203,203,coganto01,2001,1,39,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
204,204,coggida01,2001,1,17,33,1,2,1,0,0,1.0,0.0,0.0,2,13.0,0.0,0.0,1.0,0.0,0.0
205,205,colanmi01,2001,1,50,91,10,22,3,3,2,8.0,0.0,0.0,8,30.0,0.0,1.0,0.0,0.0,3.0
206,206,colbrgr01,2001,1,59,97,12,28,8,0,4,18.0,0.0,0.0,9,14.0,0.0,4.0,0.0,0.0,5.0
207,207,colemmi01,2001,1,12,38,5,8,0,0,1,7.0,0.0,1.0,0,15.0,0.0,0.0,0.0,1.0,0.0
208,208,collilo01,2001,1,50,127,19,32,8,1,2,14.0,5.0,1.0,17,30.0,0.0,1.0,1.0,2.0,0.0
209,209,colomje01,2001,1,30,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
210,210,colonba01,2001,1,34,7,0,1,0,0,0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0.0,0.0
211,211,coneda01,2001,1,25,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0
